Neuron1	Neuron2	Type	Nbr
AIBR	PVT	EJ	1
AVKL	PVT	EJ	2
PVPL	PVT	EJ	1
RIBL	PVT	EJ	1
PVWL	PVT	Sp	2
RIBR	PVT	EJ	1
PVWR	PVT	S	1
RIGL	PVT	Rp	2
RIGR	PVT	Rp	3
RIH	PVT	R	1
RMEV	PVT	Rp	1
RMFL	PVT	Rp	2
RMFL	PVT	Sp	1
RMFR	PVT	R	1
RMFR	PVT	Rp	2
SMBDR	PVT	Rp	1
VA09	PVT	S	1
VB10	PVT	S	1
VC01	PVT	S	2
VC02	PVT	S	2
VC05	PVT	S	1
AVJL	PVWL	Rp	1
AVL	PVWL	Sp	1
LUAL	PVWL	Sp	1
LUAR	PVWL	Sp	1
PVNL	PVWL	Sp	1
PVNR	PVWL	Sp	2
PVT	PVWL	Rp	2
PVWR	PVWL	Rp	1
PVCR	PVWL	EJ	2
VA12	PVWL	Rp	1
AVAR	PVWR	Rp	1
AVDR	PVWR	Rp	1
PVCR	PVWR	Rp	1
PVCR	PVWR	Sp	1
PVT	PVWR	R	1
PVWL	PVWR	Sp	1
PVCR	PVWR	EJ	1
VA12	PVWR	Rp	1
ADEL	RIAL	Sp	1
ADFL	RIAL	S	3
ADFL	RIAL	Sp	12
AIBR	RIAL	Sp	1
AIYL	RIAL	S	1
AIYL	RIAL	Sp	6
AIZL	RIAL	S	3
AIZL	RIAL	Sp	5
AQR	RIAL	S	1
AQR	RIAL	Sp	2
ASHL	RIAL	Sp	4
AUAL	RIAL	Sp	5
AWBL	RIAL	S	1
AWBL	RIAL	Sp	2
AWCL	RIAL	S	2
AWCL	RIAL	Sp	1
BAGR	RIAL	S	2
BAGR	RIAL	Sp	3
